checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,-1.2364778603818776,1,6,-0.7451314133870967,4,3,0.9184771676276685,3,2,1.0469866784197936,3,2.7664564848025224,1,1,1.0270789116578085,1,-0.4282895663715403,1,1,1
0,2.2481943623946683,3,6,0.9498167893630399,2,0,-0.8701833340815202,0,2,-0.7659772668958666,3,-1.1914039404570154,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,0
3,-0.738667542842371,1,2,-0.4165624079606273,2,1,-0.8701833340815202,3,2,0.1405047057619635,3,1.1833123146987072,1,1,-0.7049259983890862,3,2.3348689263480744,0,1,1
1,1.7503840448551617,3,3,1.634246939825297,2,1,-0.8701833340815202,3,1,1.0469866784197936,1,0.8315024991200816,1,0,-0.7049259983890862,1,2.3348689263480744,0,1,1
1,0.2569530922366421,2,4,0.5666635047179338,2,0,0.024146916773074168,3,2,1.0469866784197936,2,1.5351221302773328,1,0,1.0270789116578085,1,2.3348689263480744,0,1,0
3,1.2525737273156552,3,2,2.0500090146529657,4,0,-0.8701833340815202,3,2,1.0469866784197936,2,-0.048022039826482336,1,0,-0.7049259983890862,3,2.3348689263480744,1,1,1
3,0.2569530922366421,3,3,-0.1546287563854807,1,3,0.024146916773074168,3,2,1.0469866784197936,1,1.5351221302773328,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
0,1.2525737273156552,3,9,1.3031968307979807,2,0,-0.8701833340815202,3,2,-0.7659772668958666,0,-0.048022039826482336,1,2,-0.7049259983890862,0,-0.4282895663715403,1,1,1
3,-0.738667542842371,3,6,-0.07523344115837269,3,1,-0.8701833340815202,1,2,1.0469866784197936,3,2.238741761434584,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1,1
0,0.7547634097761486,1,4,0.6956808919619843,2,4,0.9184771676276685,2,2,-0.7659772668958666,0,-0.6636892170890771,1,1,1.0270789116578085,0,-0.4282895663715403,0,1,0
0,-0.738667542842371,3,4,-0.7004715485718485,2,2,0.024146916773074168,0,2,-1.6724592395536968,0,-0.9275465787730462,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1,0
1,2.2481943623946683,3,0,0.3674663299070645,2,2,0.024146916773074168,0,2,1.0469866784197936,1,-1.0154990326677027,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1,0
